"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100n","","","","PCM_Capacitor_THT_AKL_Double:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C2","1","10n","","","","","~"
"C3","1","2.2u","","","","","~"
"C4","1","3u","","","","","~"
"C5","1","100n","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C6","1","1m","","","","","~"
"C7,C8","2","100n","","","","","~"
"C9","1","3300u","","","","","~"
"D1","1","1N5819","","","","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf"
"F1","1","Polyfuse","","","","","~"
"J1","1","STX-3000","","","","Class D:STX-3000_KYC","STX-3000"
"J2","1","USB_C_Receptacle_PowerOnly_24P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"L1","1","22u","","","","","~"
"LM393","1","~","","","","Class D:LM393",""
"LS1","1","40Î©","","","","","~"
"Q1,Q2,Q5,Q8","4","2N4401","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"Q3,Q6","2","2N2907A","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"
"Q4,Q7","2","IRLZ14PBF","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf540n.pdf"
"R2","1","10k","","","","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3","1","2k","","","","","~"
"R4,R5,R9,R14","4","1k","","","","","~"
"R6,R7,R8,R12,R13,R16","6","10","","","","","~"
"R10,R11","2","5.1k","","","","","~"
"R15","1","10","","","","PCM_Resistor_THT_AKL:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~"
"RV5k1,RV20k1","2","R_Potentiometer","","","","PCM_Potentiometer_THT_US_AKL:Potentiometer_Bourns_3296W_Vertical","~"
"U2","1","NE555P","","","","Class D:TLC555CP","http://www.ti.com/lit/ds/symlink/ne555.pdf"
